,Step
1091,163.0
1092,150.0
1093,112.0
1094,120.0
1095,213.0
1096,140.0
1097,151.0
1098,153.0
1099,153.0
1100,165.0
1101,110.0
1102,119.0
1103,97.0
1104,161.0
1105,153.0
1106,149.0
1107,105.0
1108,152.0
1109,203.0
1110,133.0
1111,170.0
1112,170.0
1113,195.0
1114,161.0
1115,143.0
1116,127.0
1117,202.0
1118,137.0
1119,126.0
1120,174.0
1121,166.0
1122,189.0
1123,106.0
1124,106.0
1125,156.0
1126,210.0
1127,149.0
1128,154.0
1129,196.0
1130,193.0
1131,139.0
1132,187.0
1133,145.0
1134,99.0
1135,214.0
1136,160.0
1137,150.0
1138,121.0
1139,95.0
1140,194.0
1141,117.0
1142,154.0
1143,185.0
1144,160.0
1145,198.0
1146,149.0
1147,138.0
1148,182.0
1149,175.0
1150,84.0
1151,155.0
1152,205.0
1153,174.0
1154,178.0
1155,200.0
1156,106.0
1157,186.0
1158,110.0
1159,153.0
1160,220.0
1161,181.0
1162,148.0
1163,141.0
1164,158.0
1165,129.0
1166,149.0
1167,243.0
1168,143.0
1169,176.0
1170,193.0
1171,154.0
1172,158.0
1173,235.0
1174,163.0
1175,176.0
1176,148.0
1177,183.0
1178,128.0
1179,141.0
1180,139.0
1181,142.0
1182,164.0
1183,128.0
1184,124.0
1185,109.0
1186,188.0
1187,165.0
1188,180.0
1189,185.0
1190,163.0
1191,144.0
1192,142.0
1193,177.0
1194,173.0
1195,108.0
1196,165.0
1197,159.0
1198,184.0
1199,134.0
1200,144.0
1201,190.0
1202,165.0
1203,177.0
1204,191.0
1205,115.0
1206,247.0
1207,129.0
1208,220.0
1209,200.0
1210,221.0
1211,152.0
1212,116.0
1213,165.0
1214,172.0
1215,169.0
1216,156.0
1217,196.0
1218,234.0
1219,182.0
1220,142.0
1221,169.0
1222,142.0
1223,126.0
1224,196.0
1225,195.0
1226,184.0
1227,153.0
1228,60.0
1229,138.0
1230,152.0
1231,217.0
1232,128.0
1233,137.0
1234,174.0
1235,176.0
1236,118.0
1237,139.0
1238,186.0
1239,113.0
1240,164.0
1241,150.0
1242,191.0
1243,164.0
1244,106.0
1245,153.0
1246,137.0
1247,163.0
1248,114.0
1249,92.0
1250,117.0
1251,182.0
1252,106.0
1253,152.0
1254,115.0
1255,142.0
1256,140.0
1257,179.0
1258,148.0
1259,190.0
1260,130.0
1261,135.0
1262,231.0
1263,89.0
1264,201.0
1265,133.0
1266,127.0
1267,117.0
1268,164.0
1269,129.0
1270,155.0
1271,116.0
1272,83.0
1273,198.0
1274,195.0
1275,174.0
1276,149.0
1277,254.0
1278,171.0
1279,150.0
1280,199.0
1281,133.0
1282,120.0
1283,181.0
1284,169.0
1285,181.0
1286,145.0
1287,249.0
1288,152.0
1289,196.0
1290,175.0
1291,108.0
1292,189.0
1293,167.0
1294,176.0
1295,166.0
1296,152.0
1297,122.0
1298,187.0
1299,185.0
1300,178.0
1301,137.0
1302,167.0
1303,179.0
1304,170.0
1305,131.0
1306,147.0
1307,162.0
1308,173.0
1309,211.0
1310,141.0
1311,150.0
1312,174.0
1313,104.0
1314,127.0
1315,193.0
1316,164.0
1317,141.0
1318,153.0
1319,127.0
1320,210.0
1321,160.0
1322,154.0
1323,122.0
1324,223.0
1325,144.0
1326,119.0
1327,145.0
1328,142.0
1329,165.0
1330,173.0
1331,209.0
1332,172.0
1333,141.0
1334,177.0
1335,141.0
1336,242.0
1337,194.0
1338,106.0
1339,193.0
1340,193.0
1341,145.0
1342,158.0
1343,186.0
1344,129.0
1345,108.0
1346,190.0
1347,117.0
1348,173.0
1349,136.0
1350,150.0
1351,160.0
1352,184.0
1353,163.0
1354,194.0
1355,153.0
1356,114.0
1357,131.0
1358,122.0
1359,134.0
1360,114.0
1361,130.0
1362,130.0
1363,177.0
1364,114.0
1365,108.0
1366,173.0
1367,123.0
1368,148.0
1369,186.0
1370,174.0
1371,171.0
1372,114.0
1373,150.0
1374,116.0
1375,144.0
1376,129.0
1377,127.0
1378,143.0
1379,159.0
1380,133.0
1381,192.0
1382,219.0
1383,180.0
1384,211.0
1385,163.0
1386,171.0
1387,190.0
1388,140.0
1389,142.0
1390,131.0
1391,141.0
1392,163.0
1393,158.0
1394,160.0
1395,149.0
1396,151.0
1397,152.0
1398,195.0
1399,210.0
1400,105.0
1401,118.0
1402,195.0
1403,94.0
1404,150.0
1405,129.0
1406,234.0
1407,161.0
1408,108.0
1409,152.0
1410,209.0
1411,199.0
1412,79.0
1413,142.0
1414,214.0
1415,195.0
1416,156.0
1417,129.0
1418,178.0
1419,148.0
1420,195.0
1421,119.0
1422,149.0
1423,190.0
1424,231.0
1425,105.0
1426,136.0
1427,142.0
1428,88.0
1429,130.0
1430,150.0
1431,137.0
1432,70.0
1433,195.0
1434,151.0
1435,134.0
1436,94.0
1437,147.0
1438,146.0
1439,68.0
1440,162.0
1441,196.0
1442,127.0
1443,163.0
1444,173.0
1445,165.0
1446,164.0
1447,231.0
1448,229.0
1449,152.0
1450,151.0
1451,170.0
1452,128.0
1453,154.0
1454,176.0
1455,171.0
1456,171.0
1457,160.0
1458,158.0
1459,206.0
1460,159.0
1461,168.0
1462,167.0
1463,206.0
1464,152.0
1465,131.0
1466,215.0
